Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1980-12-14,,,,780.0,
1980-12-15,,,,740.0,
1980-12-16,,,,930.0,
1980-12-17,,,,999.0,
1980-12-18,,,,842.0,
1980-12-19,,,,706.0,
1980-12-20,,,,602.0,
1980-12-21,,,,546.0,
1980-12-22,,,,536.0,
1980-12-23,,,,530.0,
1980-12-24,,,,540.0,
1980-12-25,,,,526.0,
1980-12-26,,,,511.0,
1980-12-27,,,,494.0,
1980-12-28,,,,488.0,
1980-12-29,,,,561.0,
1980-12-30,,,,689.0,
1980-12-31,,,,713.0,
1981-01-01,,,,607.0,
1981-01-02,,,,520.0,
1981-01-03,,,,472.0,
1981-01-04,,,,452.0,
1981-01-05,,,,482.0,
1981-01-06,,,,516.0,
1981-01-07,,,,462.0,
1981-01-08,,,,438.0,
1981-01-09,,,,421.0,
1981-01-10,,,,415.0,
1981-01-11,,,,458.0,
1981-01-12,,,,629.0,
1981-01-13,,,,691.0,
1981-01-14,,,,602.0,
1981-01-15,,,,555.0,
1981-01-16,,,,518.0,
1981-01-17,,,,626.0,
1981-01-18,,,,778.0,
1981-01-19,,,,603.0,
1981-01-20,,,,511.0,
1981-01-21,,,,459.0,
1981-01-22,,,,420.0,
1981-01-23,,,,457.0,
1981-01-24,,,,662.0,
1981-01-25,,,,816.0,
1981-01-26,,,,674.0,
1981-01-27,,,,640.0,
1981-01-28,,,,639.0,
1981-01-29,,,,567.0,
1981-01-30,,,,512.0,
1981-01-31,,,,475.0,
1981-02-01,,,,459.0,
1981-02-02,,,,466.0,
1981-02-03,,,,492.0,
1981-02-04,,,,440.0,
1981-02-05,,,,418.0,
1981-02-06,,,,416.0,
1981-02-07,,,,446.0,
1981-02-08,,,,414.0,
1981-02-09,,,,390.0,
1981-02-10,,,,374.0,
1981-02-11,,,,353.0,
1981-02-12,,,,364.0,
1981-02-13,,,,358.0,
1981-02-14,,,,331.0,
1981-02-15,,,,327.0,
1981-02-16,,,,318.0,
1981-02-17,,,,308.0,
1981-02-18,,,,295.0,
1981-02-19,,,,286.0,
1981-02-20,,,,290.0,
1981-02-21,,,,297.0,
1981-02-22,,,,298.0,
1981-02-23,,,,289.0,
1981-02-24,,,,273.0,
1981-02-25,,,,276.0,
1981-02-26,,,,265.0,
1981-02-27,,,,269.0,
1981-02-28,,,,293.0,
1981-03-01,,,,288.0,
1981-03-02,,,,294.0,
1981-03-03,,,,297.0,
1981-03-04,,,,304.0,
1981-03-05,,,,302.0,
1981-03-06,,,,282.0,
1981-03-07,,,,267.0,
1981-03-08,,,,254.0,
1981-03-09,,,,247.0,
1981-03-10,,,,249.0,
1981-03-11,,,,249.0,
1981-03-12,,,,234.0,
1981-03-13,,,,221.0,
1981-03-14,,,,240.0,
1981-03-15,,,,299.0,
1981-03-16,,,,292.0,
1981-03-17,,,,439.0,
1981-03-18,,,,370.0,
1981-03-19,,,,309.0,
1981-03-20,,,,299.0,
1981-03-21,,,,362.0,
1981-03-22,,,,696.0,
1981-03-23,,,,591.0,
1981-03-24,,,,481.0,
1981-03-25,,,,550.0,
1981-03-26,,,,498.0,
1981-03-27,,,,444.0,
1981-03-28,,,,410.0,
